# <REAL WORLD METERS (x, y ,z)>: root_tx, root_ty, root_tz, root_rz, root_ry, root_rx, spine_3_ry, spine_3_rz, spine_3_rx, spine_4_ry, spine_4_rz, spine_4_rx, spine_2_ry, spine_2_rz, spine_2_rx, spine_1_ry, spine_1_rz, spine_1_rx, neck_1_ry, neck_1_rz, neck_1_rx, head_ee_ry, left_clavicle_ry, left_clavicle_rz, left_shoulder_rz, left_shoulder_rx, left_shoulder_ry, left_elbow_rx, left_lowarm_twist, left_hand_rx, left_hand_ry, left_ee_rx, right_clavicle_ry, right_clavicle_rz, right_shoulder_rz, right_shoulder_rx, right_shoulder_ry, right_elbow_rx, right_lowarm_twist, right_hand_rx, right_hand_ry, right_ee_rx, left_hip_rx, left_hip_rz, left_hip_ry, left_knee_rx, left_ankle_rx, left_ankle_ry, left_toes_rx, left_foot_ee, right_hip_rx, right_hip_rz, right_hip_ry, right_knee_rx, right_ankle_rx, right_ankle_ry, right_toes_rx, right_foot_ee
0,-600.05,300,3000,3.11,2.8,-3.198,0,0,0,0,0,0,-0.91305,0.58992,0,0,0,0,-1.1417,0.67195,0,0,0.082031,0.43459,0,0,0,0,0,0,0,0,0
378,1029.9,1023.7,4703.4,3.3173,1.2276,-2.9608,0,0.3,0.49761,-0.37879,-0.4,-1.9609,1.5524,0.82821,-0.039976,-0.4,0.39269,-2,-1.347,0.95217,-2.6186,0.55464,0.26559,-0.41167,0.095861,0.31154,0.27382,0.59958,0.0043107,-0.4,-0.275,-0.1242,0.5
379,1529.5,1214.2,6309.2,3.5482,-0.47837,-3.3482,0,-0.22129,0.33277,-0.4,0.4,-2,1.0774,-0.98462,-1.3883,0.5,0.4,-1.0804,-1.4,-0.74186,0,0.11112,0.41538,0.34301,0.1,0.32571,-0.050379,0.6,0.1,-0.4,0.5,0.7,0.5
380,969.63,794.73,4294,3.6202,-2.7124,-3.2356,0,0.3,-0.5,-0.4,0.076079,0.7,-0.9842,-1,-0.51987,0.5,-0.23225,-0.052101,-1.2506,0.43833,0,1.0359,0.50303,-0.6,0.1,0.20701,-0.62163,0.031567,-0.33855,-0.24604,0.5,-0.39242,0.38819
381,803.75,669.82,3693.4,3.6229,-3.3398,-3.2681,0,0.29943,-0.5,-0.27202,0.31808,0.53903,-1.4,-0.96294,-0.023913,0.5,-0.4,-0.044493,-1.4,1,-1.639,1.1237,0.22715,-0.6,0.1,0.59477,-0.62497,0.0020696,-0.83999,0.7,0.5,-0.15736,0.30537
382,1056.7,819.74,4381.6,3.4274,-3.3795,-3.0941,0,0.14093,-0.5,-0.15356,0.24393,0.44668,-1.1807,-1,0,0.5,-0.4,0.20318,-0.94451,1,-0.60055,0.71641,0.041282,-0.6,0.1,0.59025,-0.12799,0.15535,-0.053379,-0.03102,0.5,-0.30756,0.5
383,1181.1,925.71,4813.3,3.2228,-3.4299,-3.0962,0,0.055045,-0.22758,-0.4,0.4,-0.43287,-1.0696,0.28544,-1.1479,0.41638,-0.20691,0.14062,-0.82843,0.16428,-1.4182,0.29824,0.089855,-0.58678,0.1,0.15796,-0.038253,0.10512,-0.34095,-0.4,0.5,-0.4,0.5
384,1091.5,931.71,4517.2,3.1861,-3.3687,-3.1037,0,0.089616,-0.0058324,-0.4,-0.050614,-0.78425,-0.57982,0.1245,-1.6969,0.39605,-0.22647,-0.058563,-0.67668,-0.031129,-2.218,0.02865,0.067994,-0.6,0.0030752,-0.075105,0.20292,-0.084451,-0.4541,-0.2167,0.46962,-0.32215,0.5
385,1070,982.99,4411.9,3.2155,-3.458,-3.0215,0,-0.098621,0.057497,-0.29288,0.3842,-0.61454,-0.43629,-0.64176,-1.8463,0.042584,0.16075,-0.54307,-0.7677,-0.10274,-2.1954,-0.083368,-0.016958,-0.6,-0.15428,-0.091909,0.41677,-0.05292,-0.39405,-0.32894,0.5,-0.34132,0.5
386,1061.4,1045.5,4361,3.2117,-3.5011,-3.0364,0,-0.056321,0.034722,-0.17118,0.37424,-0.56464,-0.3723,-0.71935,-1.8502,-0.033214,0.3548,-0.5625,-0.81789,-0.22542,-2.2285,-0.10923,-0.03115,-0.52175,-0.22427,-0.10159,0.4809,-0.12644,-0.31531,-0.24646,0.5,-0.38875,0.37301
